t,bottle_x,bottle_y,bottle_z,t_proc
2691.959132451,1.3811403327513023,-6.211399459066659,41.654968514306205,2.2406391300000905
2693.988095088,1.3811403327513023,-6.211399459066659,41.654968514306205,2.028751202999956
2696.007742438,1.4672038069739612,-5.744895970612775,41.22106259228219,2.0195033999998486
2698.029403788,1.4826480575736871,-5.8053685597771185,41.654968514306205,2.0215180299996973
2700.056748101,1.3811403327513023,-6.109891734244274,41.654968514306205,2.027192991999982
2702.081711685,1.395833315014614,-6.380065770951693,42.09810647722436,2.024789077999685
2704.105297595,1.498420909250003,-5.867127799774749,42.09810647722436,2.0234472379997896
2706.114506688,1.3811403327513023,-5.8053685597771185,41.654968514306205,2.0090602369996304
2708.132813753,1.4672038069739612,-5.744895970612775,41.22106259228219,2.0181630409997524
2710.156403747,1.395833315014614,-6.277478176716304,42.09810647722436,2.0234472669999377
2712.17627041,1.4672038069739612,-5.744895970612775,41.22106259228219,2.019712619999609
2714.200688402,1.4672038069739612,-5.744895970612775,41.22106259228219,2.024275062000015
2716.218536278,1.4672038069739612,-5.744895970612775,41.22106259228219,2.017703594000068
2718.242897016,1.3811403327513023,-6.211399459066659,41.654968514306205,2.024210585000219
2720.263957067,1.4826480575736871,-5.9068762845995035,41.654968514306205,2.0209186570000384
2722.29845963,1.4826480575736871,-5.8053685597771185,41.654968514306205,2.03433251999968
2724.325969339,1.4672038069739612,-5.744895970612775,41.22106259228219,2.027357723000023
2726.34845745,1.4826480575736871,-5.8053685597771185,41.654968514306205,2.0223361240000486
2728.369072776,13.12108087092786,-6.817005298196344,55.735521251536476,2.0204719689995727
2730.393699579,13.256901066112741,-6.817005298196344,55.735521251536476,2.0244710749998376
2732.419234842,13.072777440194509,-6.588390865469637,54.961416789709574,2.025392259
2734.443831373,13.256901066112741,-6.817005298196344,55.735521251536476,2.024450488000184
2736.467171121,13.072777440194509,-6.722324669054728,54.961416789709574,2.023182614000234
2738.491874679,13.256901066112741,-6.817005298196344,55.735521251536476,2.024562294000134
2740.501357484,13.256901066112741,-6.817005298196344,55.735521251536476,2.009308705999956
2742.5276324,13.12108087092786,-6.681185103011463,55.735521251536476,2.0261224290002247
2744.548893105,13.256901066112741,-6.817005298196344,55.735521251536476,2.0211125149999134
2746.572083326,13.308524883369687,-6.776630604483055,56.53174298370128,2.023043585999858
2748.617081834,,,,2.044839465000223
2750.639659372,4.90579913185597,-1.5822972772250503,21.506641352495052,2.0224487010000303
2752.667654085,4.958208011519702,-1.6347061568887815,21.506641352495052,2.0278541520001454
2754.698239966,4.90579913185597,-1.6347061568887815,21.506641352495052,2.0304343010002412
2756.722057667,,,,2.0236788629999864
2758.75258794,4.932606777385237,-1.5909437104339301,21.624163982836553,2.030392287000268
2760.772974989,,,,2.020238524999968
2762.802694887,4.932606777385237,-1.6436389774182283,21.624163982836553,2.029586800999823
2764.839948164,,,,2.0371127530002013
2766.877353153,,,,2.0372032400000535
2768.908817916,,,,2.0313309070002106
2770.934408995,,,,2.0254575919998388
2772.970436573,,,,2.035880462000023
2775.005928727,,,,2.0353592040000876
2777.037625676,,,,2.0315605369996774
2779.063959847,,,,2.0261852210001052
2781.085152951,4.769290874078786,-0.3921230867604134,11.338745011057563,2.0209970599998996
2783.119675914,,,,2.0343855880000774
2785.152540526,4.758861626006277,-0.47027820370922435,13.598701061371441,2.0327164400000584
2787.170944187,4.825114111748143,-0.4999801745307537,13.505877163341601,2.018253507999816
2789.203912085,4.825114111748143,-0.4670681135815163,13.505877163341601,2.0328210029997535
2791.239714714,4.808702158987096,-0.43267933136482223,13.459938805643162,2.0356065670002863
2793.274646371,4.808702158987096,-0.46547944652851797,13.459938805643162,2.0347778919999655
2795.311255219,4.808702158987096,-0.46547944652851797,13.459938805643162,2.036457378999785
2797.339647836,4.841367913711011,-0.3971773296051729,13.368993273172599,2.028199314000176
2799.369422875,4.792202050798906,-0.4999801745307537,13.505877163341601,2.0296299589999762
2801.402392898,4.808702158987096,-0.43267933136482223,13.459938805643162,2.032827554999585
2803.430161815,4.825114111748143,-0.4670681135815163,13.505877163341601,2.0276158740002757
2805.45789027,4.825114111748143,-0.4341560526322789,13.505877163341601,2.027597488000083
2807.492421559,4.808613701657807,-0.4356428884289648,13.552130167325648,2.0343848949996755
2809.53076654,4.857779330367658,-0.36583476510171054,13.414311894437592,2.0381921969997165
2811.571700095,4.808702158987096,-0.49827956169221377,13.459938805643162,2.0407868840002266
